,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
3996,31195,1,,1,1.0,5,7,4,1,2.0,4,1,1,2,7,2,3,1,3,Version 2,.315156728029251,3,2,44,2,1,2,1,1,1,2.0,3,1,2
4013,31230,1,,1,,1,1,3,2,2.0,2,1,1,2,7,1,3,3,3,Version 2,.41983437538147,1,1,15,2,1,1,1,2,2,6.0,1,1,1
4014,31233,2,2.0,1,,6,3,4,3,2.0,1,2,5,1,2,1,4,1,1,Version 2,.695003509521484,1,1,30,2,1,2,3,2,1,1.0,3,3,4
4020,31242,1,1.0,2,1.0,8,4,26,5,2.0,2,1,2,1,5,1,4,2,3,Version 2,.938232183456421,2,1,30,1,1,1,1,1,2,1.0,3,5,3
4028,31261,1,1.0,2,1.0,8,4,26,1,2.0,2,1,2,1,5,1,4,2,3,Version 2,.938232183456421,2,1,30,1,1,2,1,1,2,1.0,2,4,2
4031,31266,2,2.0,1,2.0,3,2,26,5,2.0,1,2,5,1,2,1,4,2,3,Version 2,.676713943481445,1,1,30,2,2,2,1,1,1,3.0,2,2,2
4034,31278,2,2.0,2,,3,2,16,2,2.0,1,2,6,3,1,1,2,1,2,Version 2,.827514827251434,2,1,11,2,1,2,1,1,3,1.0,2,4,2
4039,31284,1,1.0,1,,5,7,1,5,2.0,4,1,1,2,7,2,2,1,3,Version 2,.483465254306793,3,2,11,1,2,1,1,1,2,2.0,1,1,1
4050,31307,2,2.0,1,2.0,8,4,5,3,2.0,1,2,5,3,1,1,2,1,1,Version 2,1.72399938106537,1,1,33,2,1,2,2,2,1,1.0,2,3,2
4053,31313,1,1.0,2,1.0,8,4,2,4,2.0,3,3,4,1,4,1,4,1,2,Version 2,1.35321962833405,2,1,30,1,2,2,1,1,2,1.0,1,1,2
4063,31335,2,2.0,2,2.0,3,2,4,4,2.0,1,2,6,1,2,1,4,1,2,Version 2,.856982529163361,2,1,30,2,1,2,2,2,3,2.0,3,5,3
