,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
11902,51549,1,,2,,7,4,5,1,2.0,3,3,4,1,4,1,3,1,2,Version 1,0.920891761779785,2,1,16,2,2,1,1,3,1,1.0,2.0,1
11904,51560,1,1.0,1,1.0,3,2,2,5,2.0,2,1,1,2,7,1,4,2,3,Version 1,0.140058591961861,1,1,37,2,2,1,1,3,1,2.0,2.0,1
11908,51572,2,2.0,1,2.0,6,3,6,2,2.0,1,2,5,3,1,1,3,1,1,Version 1,1.0488189458847,1,1,40,1,1,3,2,1,2,2.0,2.0,2
11909,51575,1,1.0,1,1.0,7,4,1,5,2.0,2,1,1,2,7,1,2,5,3,Version 1,0.83219039440155,1,1,20,2,1,1,1,3,1,2.0,2.0,1
11913,51582,2,2.0,1,1.0,3,2,2,2,2.0,3,3,3,1,4,1,4,1,1,Version 1,1.02732038497925,1,1,18,2,1,2,3,3,2,2.0,2.0,1
11917,51593,1,1.0,2,,8,4,2,4,2.0,2,1,2,3,5,1,2,5,3,Version 1,1.07106971740723,2,1,14,2,2,1,1,2,1,2.0,2.0,1
11918,51594,2,1.0,2,,8,4,1,4,2.0,1,2,6,1,2,1,3,1,2,Version 1,0.922063708305359,2,1,34,1,1,4,2,1,2,1.0,2.0,1
11922,51608,2,2.0,2,2.0,7,4,1,5,2.0,1,2,6,1,2,1,4,1,2,Version 1,0.8461357355117801,2,1,37,1,1,3,2,1,2,2.0,2.0,1
11928,51621,1,1.0,2,1.0,6,3,2,4,2.0,3,3,4,1,4,1,4,2,3,Version 1,0.172700941562653,2,1,37,2,1,2,1,2,1,2.0,2.0,1
11933,51642,1,,2,1.0,6,3,2,2,2.0,2,1,2,2,7,1,2,1,2,Version 1,0.52927041053772,2,1,23,2,2,1,1,3,1,2.0,2.0,1
11937,51648,2,2.0,1,2.0,2,1,25,4,2.0,3,4,3,1,4,1,3,3,3,Version 1,0.9012405872344971,1,1,41,2,2,4,2,3,1,2.0,2.0,1
11940,51652,2,2.0,2,1.0,2,1,3,4,2.0,1,2,6,1,2,1,2,2,3,Version 1,0.666262626647949,2,1,21,2,1,4,4,1,2,1.0,2.0,1
11943,51664,2,2.0,2,,3,2,1,4,2.0,1,2,6,3,1,1,3,2,3,Version 1,0.143722802400589,2,1,3,1,1,3,2,1,2,1.0,2.0,1
11947,51671,2,1.0,1,,3,2,1,3,2.0,1,2,5,3,1,1,3,1,1,Version 1,0.439989894628525,1,1,34,1,1,3,2,1,2,2.0,2.0,1
11955,51683,1,1.0,2,1.0,1,1,6,2,2.0,2,1,2,2,7,1,2,1,2,Version 1,0.415216952562332,2,1,21,2,2,1,1,3,1,2.0,1.0,1
11957,51693,2,2.0,2,2.0,2,1,30,3,2.0,1,2,6,1,2,1,3,3,3,Version 1,0.706394135951996,2,1,41,2,1,3,2,1,2,2.0,2.0,1
11962,51713,1,1.0,1,1.0,2,1,4,2,2.0,3,4,3,2,6,1,4,1,1,Version 1,0.49126875400543196,1,1,18,1,2,1,1,3,1,2.0,2.0,1
11964,51718,1,1.0,2,1.0,7,4,8,3,2.0,2,1,2,3,5,1,2,1,2,Version 1,0.7349646091461178,2,1,46,2,1,1,1,3,1,2.0,2.0,1
11966,51721,2,1.0,2,,2,1,3,5,2.0,1,2,6,3,1,1,2,1,2,Version 1,0.651110589504242,2,1,14,2,1,2,3,3,1,2.0,2.0,1
11967,51722,2,2.0,1,2.0,7,4,15,3,2.0,1,2,5,3,1,1,4,1,1,Version 1,1.4246965646743799,1,1,36,1,1,4,2,2,2,2.0,2.0,1
11968,51728,2,2.0,2,2.0,8,4,19,4,2.0,1,2,6,3,1,1,3,5,3,Version 1,2.24268126487732,2,1,41,1,1,3,2,1,2,2.0,2.0,2
11984,51771,2,,1,,5,3,5,3,2.0,1,2,5,3,1,1,3,1,1,Version 1,0.482531368732452,1,1,16,1,1,3,2,1,2,2.0,2.0,1
11986,51777,1,1.0,1,,1,1,3,2,2.0,2,1,1,1,5,1,2,1,1,Version 1,0.34999528527259804,1,1,14,1,2,2,4,3,1,2.0,1.0,1
11992,51787,2,2.0,1,2.0,5,3,3,4,2.0,1,2,5,3,1,1,4,1,1,Version 1,1.26623213291168,1,1,18,1,1,2,2,1,2,2.0,2.0,2
11999,51817,2,,2,2.0,7,4,4,2,2.0,1,2,6,3,1,1,2,5,3,Version 1,1.03992772102356,2,1,23,2,1,3,5,4,2,1.0,2.0,3
12000,51819,1,2.0,2,1.0,3,10,30,4,1.0,6,1,2,2,7,3,3,3,3,Version 1,0.822631299495697,6,2,41,2,2,1,1,3,1,2.0,2.0,1
12004,51834,1,1.0,2,1.0,8,4,6,5,2.0,2,1,2,2,7,1,2,1,2,Version 1,0.861887872219086,2,1,21,2,2,1,1,3,1,2.0,2.0,1
12007,51837,1,1.0,1,1.0,8,4,2,4,2.0,3,3,3,1,4,1,4,2,3,Version 1,0.214791223406792,1,1,37,2,2,3,1,3,1,2.0,2.0,1
12013,51853,1,1.0,2,2.0,3,2,2,2,2.0,1,2,6,1,2,1,2,2,3,Version 1,0.230109646916389,2,1,25,2,1,2,3,2,1,1.0,2.0,1
12016,51862,1,,1,1.0,3,2,7,3,2.0,2,1,1,3,5,1,2,2,3,Version 1,0.336923629045486,1,1,23,2,2,1,1,3,1,2.0,2.0,1
12018,51872,1,1.0,1,1.0,6,7,30,2,2.0,4,1,1,1,5,2,3,3,3,Version 1,0.47946748137474104,3,2,41,1,2,1,1,3,1,2.0,2.0,1
12027,51897,1,1.0,1,1.0,7,8,26,1,2.0,4,1,1,1,5,2,3,1,3,Version 1,1.16949796676636,3,2,41,2,2,1,1,2,1,2.0,2.0,1
12034,51911,1,1.0,2,1.0,5,3,6,5,2.0,3,3,4,2,6,1,2,1,2,Version 1,0.484851121902466,2,1,21,2,1,1,3,3,1,2.0,2.0,1
12037,51916,1,,1,,6,7,1,1,2.0,4,1,1,1,5,2,3,1,3,Version 1,0.3814207017421721,3,2,16,1,1,1,1,3,1,2.0,2.0,2
12040,51925,1,,1,1.0,3,2,6,2,2.0,2,1,1,2,7,1,2,5,3,Version 1,0.42881190776825,1,1,23,2,2,1,1,3,1,2.0,2.0,1
12041,51930,1,1.0,1,,5,13,3,5,2.0,8,1,1,1,5,5,2,1,3,Version 1,0.40869140625,7,2,14,2,2,2,1,3,1,2.0,1.0,2
