,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ATTEND16,ATTREL,BOYSGIRLS,BRNAGAIN,CHILD18,CHILDBOY,CHILDGIRL,ISSUE18,MARRIED,PARENTS,TRUMP4,WOMEN,HEALTHPRE18,GUN16,SEXUALHARASS,SEXWED,GUNOWNER12,RELIGN18
6508,36978,1,,1,1.0,6,3,3,4,2.0,2,1,1,2,7,1,2,1,1,Version 3,.310324400663376,1,1,23,4.0,1.0,3.0,2.0,1.0,1.0,2.0,1,1.0,3.0,1,1,1,1,2,1.0,1.0,3.0
6516,37003,1,1.0,1,,2,5,2,2,2.0,4,1,1,2,7,2,3,2,3,Version 3,.0588131584227085,3,2,3,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1,2.0,3.0,1,1,1,1,1,3.0,2.0,7.0
6517,37004,1,1.0,1,,2,5,2,2,2.0,4,1,1,2,7,2,3,2,3,Version 3,.0588131584227085,3,2,3,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1,2.0,3.0,1,1,1,1,1,3.0,2.0,7.0
6526,37023,1,1.0,1,1.0,2,1,4,4,2.0,2,1,1,2,7,1,2,3,3,Version 3,.563204646110535,1,1,46,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,1.0,7.0
6528,37027,2,2.0,1,,3,2,6,2,2.0,1,2,5,3,1,1,3,1,1,Version 3,.485361784696579,1,1,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2,1.0,3.0,3,1,2,2,2,1.0,1.0,6.0
6531,37035,2,2.0,2,2.0,7,4,8,3,2.0,1,2,6,1,2,1,2,2,3,Version 3,1.47057962417603,2,1,46,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,2,1,2,2,2,2.0,1.0,1.0
6532,37038,1,1.0,1,1.0,8,4,8,2,2.0,2,1,1,1,5,1,2,1,1,Version 3,.642167270183563,1,1,46,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2,1.0,1.0,1,2,1,1,2,1.0,1.0,2.0
6536,37046,2,2.0,1,2.0,3,2,2,4,2.0,3,3,3,1,4,1,2,1,1,Version 3,.762972772121429,1,1,46,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2,1.0,1.0,2,2,2,1,1,1.0,1.0,2.0
6548,37081,2,2.0,1,2.0,7,4,2,4,2.0,1,2,5,3,1,1,2,2,3,Version 3,.537588596343994,1,1,25,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,4,2,2,2,3,1.0,1.0,7.0
6549,37082,1,,1,1.0,2,5,2,2,2.0,4,1,1,3,5,2,3,5,3,Version 3,.223971366882324,3,2,22,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2,2.0,3.0,1,3,1,1,1,3.0,1.0,3.0
6556,37100,1,1.0,1,1.0,2,5,4,2,2.0,4,1,1,1,5,2,2,3,3,Version 3,.563204646110535,3,2,46,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1,2.0,3.0,1,1,1,3,2,3.0,2.0,3.0
6560,37118,1,1.0,2,1.0,6,13,3,5,2.0,8,3,4,1,4,5,2,1,3,Version 3,.630855262279511,7,2,20,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2,1.0,4.0,1,1,1,1,2,2.0,1.0,6.0
6563,37122,1,1.0,2,1.0,3,2,6,2,2.0,2,1,2,2,7,1,2,1,2,Version 3,.484851121902466,2,1,21,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,2,1,1,1,4.0,1.0,6.0
6565,37124,2,2.0,1,,5,3,6,4,2.0,1,2,5,1,2,1,3,1,1,Version 3,.485361784696579,1,1,1,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3,1.0,1.0,4,2,3,2,1,1.0,1.0,2.0
6566,37127,1,,2,1.0,3,6,2,2,2.0,4,1,2,3,5,2,3,5,3,Version 3,.29772487282753,4,2,22,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2,2.0,4.0,1,4,1,1,1,4.0,2.0,3.0
